datetime,portfolio_value,cash,positions,return
2022-08-15 08:30:00-04:00,118122.64355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.007046282660365888
2022-08-15 09:30:00-04:00,118122.64355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-15 09:30:00-04:00,118122.64355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-16 09:30:00-04:00,117858.74249755859,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.0022341276325960058
2022-08-17 09:30:00-04:00,117996.48984252929,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0011687494881726934
2022-08-18 09:30:00-04:00,117723.89355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.002310206713121543
2022-08-19 09:30:00-04:00,117723.89355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-20 09:30:00-04:00,117723.89355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-20 09:29:00-04:00,117723.89355957031,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-22 08:30:00-04:00,115972.29108154296,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.014878903721792014
2022-08-22 09:30:00-04:00,115972.29108154296,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-22 09:30:00-04:00,115972.29108154296,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-23 09:30:00-04:00,115857.73984252929,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.000987746624175334
2022-08-24 09:30:00-04:00,116311.5905505371,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.003917310217035785
2022-08-25 09:30:00-04:00,116913.34409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.005173633489068408
2022-08-26 09:30:00-04:00,116913.34409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-27 09:30:00-04:00,116913.34409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-27 09:29:00-04:00,116913.34409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-29 08:30:00-04:00,114660.0428515625,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.019273259665449127
2022-08-29 09:30:00-04:00,114660.0428515625,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-29 09:30:00-04:00,114660.0428515625,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-08-30 09:30:00-04:00,114091.64090454101,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.00495728008542029
2022-08-31 09:30:00-04:00,113070.84409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.008947165680778801
2022-09-01 09:30:00-04:00,114142.39178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.009476781637149934
2022-09-02 09:30:00-04:00,114142.39178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-09-03 09:30:00-04:00,114142.39178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-09-03 09:29:00-04:00,114142.39178955078,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
